Timestamp,1. Umur anda (sila nyatakan),2. Kaum,3. Agama,4. Negeri Tempat Mengundi,Negeri,5. Bil elektrik bulan terakhir anda,6. Tahap pendidikan tertinggi anda,7. Adakah anda pengundi berdaftar?,8. Media sosial di Internet merupakan sumber maklumat utama saya mengenai isu semasa berbanding media cetak dan televisyen.,9. Dasar Transformasi Nasional yang diperkenalkan kerajaan mampu membawa kemakmuran kepada negara pada masa depan.,10. Tun Mahathir Mohamad adalah negarawan ulung negara.,11. Pilihan Raya Umum Ke 14 akan memberi sinar perubahan baharu kepada politik dan ekonomi Malaysia.,12. Cukai GST harus dikekalkan bagi menjamin pembangunan negara yang berterusan.,13. Isu agama dan kaum perlu diberi perhatian utama berbanding ekonomi dan pembangunan.,14. Bagaimana anda menilai pencapaian Datuk Seri Najib Tun Razak sebagai Perdana Menteri ?,"15. Sekiranya Pilihanraya Umum (PRU) diadakan esok,parti mana yang akan anda pilih?"
3/28/2018 23:32:06,39,Melayu,Islam,Kedah,Kedah,RM 101 - RM 300,Siswazah (Masters/PHD),Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak,Tidak Pasti,Tidak Puas Hati,Pakatan Harapan (PH)
3/28/2018 23:43:16,39,Melayu,Islam,Kedah,Kedah,RM 0 - RM 100,Siswazah (Masters/PHD),Ya,Tidak,Ya,Ya,Tidak Pasti,Ya,Ya,Sedikit Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 7:20:20,56,Melayu,Islam,Kedah,Kedah,RM 101 - RM 300,Siswazah (Masters/PHD),Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak Pasti,Tidak Puas Hati,Tidak Pasti
3/29/2018 7:23:17,38,Melayu,Islam,Kedah,Kedah,RM 101 - RM 300,Siswazah (Masters/PHD),Ya,Ya,Ya,Ya,Tidak Pasti,Tidak,Tidak,Sedikit Tidak Puas Hati,Pas dan Gabungan nya
3/29/2018 7:27:11,39,Melayu,Islam,Kedah,Kedah,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak,Ya,Sedikit Tidak Puas Hati,Pas dan Gabungan nya
3/29/2018 7:39:45,33,Melayu,Islam,Selangor,Selangor,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak Pasti,Sedikit Tidak Puas Hati,Tidak Pasti
3/29/2018 7:40:53,34,Melayu,Islam,Negeri Sembilan,Negeri Sembilan,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Ya,Tidak,Tidak Pasti,Tidak Puas Hati,Tidak Pasti
3/29/2018 7:44:12,23,Melayu,Islam,Perak,Perak,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak Pasti,Tidak Pasti,Puas Hati,Barisan Nasional (BN)
3/29/2018 7:48:26,38,Melayu,Islam,Melaka,Melaka,RM 101 - RM 300,Siswazah (Masters/PHD),Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 7:48:49,37,Lain-lain,Islam,Johor,Johor,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak,Tidak,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 8:05:16,37,Melayu,Islam,Selangor,Selangor,RM 101 - RM 300,Siswazah (Masters/PHD),Ya,Ya,Ya,Ya,Ya,Ya,Ya,Puas Hati,Barisan Nasional (BN)
3/29/2018 8:06:26,24,Melayu,Islam,Kedah,Kedah,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Tidak,Ya,Tidak,Tidak Pasti,Tidak Pasti,Sedikit Tidak Puas Hati,Tidak Pasti
